####################################################################################
#SPECIES_SHORT  SPEC_DENS   MOLAR_WEIGHT     T_DES   T_DESA    T_DESB     PART_FILE  
OLIVA1000       3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_1000.0_1000.0_-3.5_DHS_0.8.opacity
OLIVA5000       3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_5000.0_5000.0_-3.5_DHS_0.8.opacity
OLIVMGMRN01     3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_0.1_-3.5_DHS_0.8.opac
OLIVMGMRN05     3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_0.5_-3.5_DHS_0.8.opac
OLIVMGMRN1      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_1.0_-3.5_DHS_0.8.opac
OLIVMGMRN2      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_2.0_-3.5_DHS_0.8.opac
OLIVMGMRN3      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_3.0_-3.5_DHS_0.8.opac
OLIVMGC01MRN1      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_1_-3.5_DHS_0.8.opac
OLIVMGC01MRN2      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_2_-3.5_DHS_0.8.opac
OLIVMGC01MRN3      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_3_-3.5_DHS_0.8.opac
OLIVMGC01MRN4      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_4_-3.5_DHS_0.8.opac
OLIVMGC01MRN5      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_5_-3.5_DHS_0.8.opac
OLIVMGC01MRN10      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.1_10_-3.5_DHS_0.8.opac
OLIVMGC05MRN3      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.5_3_-3.5_DHS_0.8.opac
OLIVMGC1MRN3      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_1.0_3_-3.5_DHS_0.8.opac
OLIVMGMRN4      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_4.0_-3.5_DHS_0.8.opac
